id	name	genreId	directorId	year	rating	overview	image
1	The Shawshank Redemption	1	1	1994	8.7	Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.	/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg
2	Dilwale Dulhania Le Jayenge	2	5	1995	8.7	Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.	/2CAL2433ZeIihfX1Hb2139CX0pW.jpg
3	The Godfather	1	9	1972	8.7	Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.	/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
4	Schindler's List	1	13	1993	8.6	The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.	/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
5	The Godfather Part II	1	9	1974	8.6	In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.	/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
6	Impossible Things	3	19	2021	8.6	Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor	/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg
7	Dou kyu sei – Classmates	4	23	2016	8.5	Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.	/cIfRCA5wEvj9tApca4UDUagQEiM.jpg
8	Spirited Away	5	27	2001	8.5	A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.	/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
9	Your Name.	4	31	2016	8.5	High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.	/q719jXXEzOoYaps6babgKnONONX.jpg
10	12 Angry Men	1	35	1957	8.5	The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.	/ppd84D2i9W8jXmsyInGyihiSyqz.jpg
11	Gabriel's Inferno	4	39	2020	8.5	An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.	/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg
12	Parasite	2	43	2019	8.5	All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.	/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
13	Gabriel's Inferno: Part II	4	39	2020	8.5	Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?	/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg
14	The Green Mile	6	1	1999	8.5	A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.	/velWPhVMQeQKcxggNEU8YmIo52R.jpg
15	The Dark Knight	1	51	2008	8.5	Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.	/qJ2tW6WMUDux911r6m7haRef0WH.jpg
16	Your Eyes Tell	4	55	2020	8.5	A tragic accident lead to Kaori's blindness, but she clings to life and the smaller pleasures it can still afford her. She meets Rui and begins to talk to him. Rui was once a promising kickboxer, but something happened in his past. Kaori's smile brings out a change in Rui. However, the two are connected in more than one way. Rui attempts to do what is right.	/cVn8E3Fxbi8HzYYtaSfsblYC4gl.jpg
17	The Good, the Bad and the Ugly	7	59	1966	8.5	While the Civil War rages on, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.	/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
18	Pulp Fiction	8	63	1994	8.5	A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.	/fIE3lAGcZDV1G6XM5KmuWnNsPp1.jpg
